id;name;price;valid_from;valid_to
1;Wooden collaborative system;49492;2023-01-30T13:39:49;2023-01-30T03:21:51
2;leverage pixel;94683;2023-01-30T12:11:28;2023-01-30T01:08:07
3;HDD revolutionary Account;86970;2023-01-30T11:09:49;2023-01-30T13:07:00
4;Bedfordshire;12372;2023-01-29T13:58:43;2023-01-30T01:00:28
5;Nevada;26369;2023-01-29T22:17:48;2023-01-29T20:56:43
6;reinvent Checking THX;40769;2023-01-29T14:33:20;2023-01-29T21:17:43
7;Squares Bedfordshire;10866;2023-01-30T07:00:10;2023-01-29T18:50:23
8;project holistic;61164;2023-01-29T23:58:35;2023-01-29T21:59:24
9;Handmade;83015;2023-01-30T05:54:04;2023-01-29T21:53:52
10;Garden Avon;4487;2023-01-29T23:20:56;2023-01-30T11:38:10
